Name,Location,Neighborhood,Borough
Abe Lincoln,"East 135 Street, between Madison & 5 avenues",East Harlem,Manhattan
100% Playground,"Glenwood Road, East 100 & East 101 streets",,Brooklyn
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",,Bronx
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,,Bronx
Abigail Playground,"East 156 Street, Tinton Avenue",,Bronx
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",,Bronx
Albemarle Park,Albermarle Road & Dahill Road,,Brooklyn
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",,Brooklyn
Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Harlem,Manhattan
Alfred E. Smith Park,"Catherine Slip, Madison & South streets",Financial District,Manhattan
Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",East Harlem,Manhattan
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",,Bronx
Alley Park (PS 213),67 Avenue & 230 Street,,Queens
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",,Queens
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",,Queens
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",,Queens
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,,Queens
Alstyne Playground,Alystine Avenue & 102 Street,,Queens
American Playground,"Noble, Franklin Milton Streets",,Brooklyn
Ampere Playground (PS 64),101 Avenue & 82 Street,,Queens
Andrews Playground,"49 Avenue, Vernon Boulevard, 5 Street",,Queens
Annandale Playground (PS 175),"Yellowstone Boulevard, 65 Road, 65 Avenue",,Queens
Annunciation Park,"Convent and Amsterdam Av, W 135 St",Morningside Heights,Manhattan
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",,Bronx
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",,Staten Island
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",,Queens
Asser Levy,Asser Levy Place & East 24-25 streets,Gramercy,Manhattan
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",,Brooklyn
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",,Brooklyn
Astoria Heights Playground,"30 Road, 45 to 46 streets",,Queens
Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,,Queens
Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",,Queens
Aubondale Playground,"170-171 streets, 33-35 avenues",,Queens
Audubon Playground,West 170 Street & Audubon Avenue,Harlem,Manhattan
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Gramercy,Manhattan
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",,Bronx
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",,Queens
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",,Queens
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,,Queens
Bartlett Playground,Bartlett Street & Throop Avenue,,Brooklyn
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Financial District,Manhattan
Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Financial District,Manhattan
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,,Queens
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",,Queens
Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,,Queens
Bayview Playground,Seaview Avenue & East 99 Street,,Brooklyn
Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",,Brooklyn
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",,Bronx
Bellaire Playground,"89 Avenue, 207 & 208 streets",,Queens
Belmont Playground,"Crotona Avenue, East 181 Street",,Bronx
Bendheim Playground,100th Street and Fifth Ave,Upper East Side,Manhattan
Bennett Park,"West 185 Street, Ft Washington Avenue",Harlem,Manhattan
Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,,Brooklyn
Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",,Brooklyn
Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,Brooklyn
Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,Brooklyn
Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",,Queens
Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,,Brooklyn
Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",,Brooklyn
Bleecker Playground,Hudson & West 11 streets,Greenwich Village,Manhattan
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",,Staten Island
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",,Staten Island
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,Staten Island
Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Upper West Side,Manhattan
Blue Heron Park Preserve (Nature Center),Poillon Avenue,,Staten Island
Bowne Park,"159 Street, 29 Avenue, 155 Street, 32 Avenue",,Queens
Bowne Playground,Union Street and Sanford Avenue,,Queens
Breininger Park,Braddock Avenue & 240 Street,,Queens
Breukelen Playground,Louisiana & Flatlands Avenue,,Brooklyn
Brevoort Playground,Ralph Avenue & Chauncy Street,,Brooklyn
Bridge Park 2,Bridge & Prospect streets,,Brooklyn
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Upper West Side,Manhattan
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,,Bronx
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,,Bronx
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,,Bronx
Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,,Bronx
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",,Bronx
Bronx Park (River Park Playground),"East 180th Street, Boston Road",,Bronx
Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,,Bronx
Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,,Bronx
Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",,Bronx
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",,Queens
Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",,Brooklyn
Brower Park (Museum),"Brooklyn, St. Mark's, Kingston avenues, Park Place",,Brooklyn
Brownsville Playground,Linden Boulevard & Hegeman Avenue,,Brooklyn
Bufano Playground,"La Salle Avenue, Edison Avenue, Bradford Avenue, Waterbury Avenue",,Bronx
Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",,Brooklyn
Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,,Brooklyn
Cabbell Park/Cambria Playground,121 Avenue & 220 Street,,Queens
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,Brooklyn
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,Brooklyn
Campiz Playground,Hope Street & Metropolitan Avenue,,Brooklyn
Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",,Brooklyn
Capt. Rivera Playground,"East 156 Street, Forest Avenue",,Bronx
Capt. Tilly Park,"Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue",,Queens
Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,,Queens
Carl Schurz Park,East 84 Street & East End Avenue,Upper East Side,Manhattan
Carl Schurz Promenade,"Stone Wall to East River, East 84 to East 90 streets",Upper East Side,Manhattan
Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Harlem,Manhattan
Carroll Park,Court & Smith Streets,,Brooklyn
Carver Playground,Ralph Avenue & Sumpter Street,,Brooklyn
Caserta Playground,"St. Raymond Avenue, Puroy Street",,Bronx
Castle Hill Playground,"Parker Street, Castle Hill Avenue, Puroy Street",,Bronx
Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,,Queens
Cauldwell Playground,"Caldwell Avenue, East 163 Street, East 161 Street",,Bronx
Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",,Bronx
Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",,Bronx
Central Park (Ancient Playground),85 ST & 5TH AVE,Upper East Side,Manhattan
Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Upper East Side,Manhattan
Central Park (Bethesda Terrace),,Upper East Side,Manhattan
Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Upper East Side,Manhattan
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,East Harlem,Manhattan
Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",Upper West Side,Manhattan
Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Upper East Side,Manhattan
Central Park (Lasker),Central Park at 107th Street,Upper East Side,Manhattan
Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Upper East Side,Manhattan
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Upper East Side,Manhattan
Central Park (Ramble),Central Park,Upper West Side,Manhattan
"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,Upper West Side,Manhattan
Central Park (Tavern on The Green),Central Park,Upper West Side,Manhattan
Central Park (Tennis Courts),93d Street near the West Drive,Upper West Side,Manhattan
Central Park (The Great Hill),West Side from 103rd to 107th streets,Upper West Side,Manhattan
Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Upper East Side,Manhattan
Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",Upper West Side,Manhattan
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Upper East Side,Manhattan
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Upper West Side,Manhattan
Century Playground,Brighton Beach Avenue & West 2 Street,,Brooklyn
Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,,Queens
Chelsea Park,West 27 Street & 9 Avenue,Chelsea,Manhattan
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Chelsea,Manhattan
Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Upper East Side,Manhattan
Chester Playground,"Chester Street, Sutter Avenue",,Brooklyn
Ciccarone Park Playground,"Arthur Avenue, East 188 Street",,Bronx
City Line Park,Atlantic & Fountain avenues,,Brooklyn
Claremont Park,Mount Eden Parkway & Morris Avenue,,Bronx
Claremont Park Playground,E 170 Street & Teller Avenue,,Bronx
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",,Bronx
Clement Clark Moore Park,Broadway & 83 Street,,Queens
Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",,Queens
Col. Charles Young Playground,West 144 Street & Lenox Avenue,Harlem,Manhattan
Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",,Brooklyn
Coleman Square Playground,Between Cherry & Monroe streets,Chinatown,Manhattan
College Point Park,130th Street & 23rd Avenue,,Queens
Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",,Bronx
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",,Brooklyn
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Chinatown,Manhattan
Com. John Barry Park & Playground,South of Flushing Avenue,,Brooklyn
Com. John Barry Park & Playground,South of Flushing Avenue,,Brooklyn
Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,,Brooklyn
Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",,Brooklyn
Coney Island,Brighton 2nd,,Brooklyn
Coney Island,W 27 ST.,,Brooklyn
Coney Island,W 33 St.,,Brooklyn
Coney Island Beach,Corbin Place to Coney Island Avenue,,Brooklyn
Coney Island Beach,Stillwell Avenue,,Brooklyn
Coney Island Beach,West 16th Street,,Brooklyn
Coney Island Beach,W 22 ST.,,Brooklyn
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",,Staten Island
Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",,Brooklyn
Corona Golf Playground,109 Street between 46-47 avenues,,Queens
Corporal John A. Seravalli Playground,Hudson & Horatio streets,Greenwich Village,Manhattan
Corporal Thompson Park,"Broadway, Henderson Avenue",,Staten Island
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",,Staten Island
Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",,Queens
Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,,Bronx
Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,,Bronx
Crotona Park (Pool House),173rd Street and Fulton Avenue,,Bronx
Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",,Bronx
Crowley Playground,57 Avenue & 83 Street,,Queens
Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",,Queens
Cunningham Park (210th Street Playground),210 Street & 73 Avenue,,Queens
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",,Queens
Cypress Hills Park,Blake & Euclid avenues,,Brooklyn
Daniel M. O'Connell Playground,113 Avenue & 196 Street,,Queens
De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Midtown West,Manhattan
Dematti Playground,"Tompkins Avenue, Chestnut Avenue",,Staten Island
Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",,Queens
Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",,Bronx
Digilio Playground,McDonald Avenue & Avenue F,,Brooklyn
Dimattina Playground,Hicks & Rapelye streets,,Brooklyn
Ditmars Park Playground,23 Avenue to Ditmars Boulevard,,Queens
Double Nickel Playground,Osborne Street and Preston Avenue,,Staten Island
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Greenwich Village,Manhattan
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",,Queens
Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller avenues",,Brooklyn
Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,,Brooklyn
Drew Playground,"Fulton Avenue, East 169 Street",,Bronx
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",East Village,Manhattan
Dugan Playground,Mill Road & Tysens Lane,,Staten Island
Dutch Kills Playground (PS 112),"Crescent-28 streets, 36 Avenue, 37 Avenue",,Queens
Dyckman House Museum,Broadway & West 204 Street,Inwood,Manhattan
Dyker Beach Park,"Shore Parkway, 86 Street, 7 to 14 avenues",,Brooklyn
East Elmhurst Playground (PS 127),25 Avenue & 98 Street,,Queens
East River Park (10th Street),Northern extreme of park,East Village,Manhattan
East River Park (Tennis Courts),East River Park at Broome Street,Lower East Side,Manhattan
East River Park (Track Building),East 6 Street & FDR Drive,East Village,Manhattan
East River Playground,"FDR Drive, East 106 to East 107 streets",Upper East Side,Manhattan
East Springfield Playground,115 Road between 218 & 219 streets,,Queens
Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",,Bronx
Edenwald Playground,"East 226 Drive, Schieffelin Avenue",,Bronx
Ederle Comfort Station,Flushing Meadows Corona Park,,Queens
Edmonds Playground,"DeKalb Avenue, Adelphi Street",,Brooklyn
Electric Playground,"164 Street, south of 65 Avenue",,Queens
Emerald Playground (PS 200),164 Street between Jewel & 71 avenues,,Queens
Equity Park,"90 Street, 88 & 89 avenues",,Queens
Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,,Brooklyn
Farm Playground,"73 Avenue, 195 Street & 196 Place",,Queens
Fermi Playground,Troutman Street & Central Avenue,,Brooklyn
Fisher Pool,"32 Avenue, 99 Street",,Queens
Flushing Fields (Leonardo Ingravallo Playground),"Bayside Avenue, 25 Avenue, 149 to 150 streets",,Queens
Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,,Queens
Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,,Queens
Flushing Meadows Corona Park (Meadow Lake North),Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway,,Queens
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",,Queens
Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,,Queens
Flushing Meadows Corona Park (Worlds Fair Playground),"Grand Central Parkway, Van Wyck Expressway",,Queens
"Flushing Meadows Corona Park (Zoo, Ballfields)",Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children,,Queens
Flynn Playground,"3 Avenue, East 158 Street, Brook Avenue, East 157 Street",,Bronx
Forest Park (Dry Harbour Playground),80 Street & Myrtle Avenue,,Queens
Forest Park (Jackson Pond Playground),108 Street and Park Lane South,,Queens
Forest Park (Seuffert Bandshell),West Main Drive to eastern side of golf course,,Queens
"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,,Queens
Forest Park (Tennis Courts -Forest Parkway),Park Lane South to north of tennis courts,,Queens
Forest Park (The Overlook),Park Lane (to east and south) to Metropolitan Avenue,,Queens
Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,,Queens
"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,,Queens
Fort Greene Park,South of Myrtle Avenue to Willoughby Avenue,,Brooklyn
Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,,Brooklyn
Fort Independence Playground,"Stevenson Place, West 238 Street, Sedgwick Avenue",,Bronx
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Inwood,Manhattan
Fort Tryon Park (Cafe),One Margaret Corbin Drive,Inwood,Manhattan
Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Inwood,Manhattan
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Harlem,Manhattan
Fox Playground,"Avenue H, East 54 to E 55 streets",,Brooklyn
Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,,Queens
Frank D. O'Connor Playground,Broadway & 78 Street,,Queens
Frank Golden Park,"132 to 138 streets, 14 Road",,Queens
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",,Bronx
Frederick B. Judge Memorial Playground,"111 Avenue, 134 & 135 streets, Lincoln Street",,Queens
Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Upper West Side,Manhattan
Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Harlem,Manhattan
Frederick Johnson Park,"7 Avenue, West 150-151 streets",Harlem,Manhattan
Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,,Queens
Friends Field,"Avenue L, East 4 Street, McDonald Avenue, Avenue M",,Brooklyn
Fulton Park,"Fulton, Chauncey streets, Stuyvesant, Lewis avenues",,Brooklyn
Galapo Playground,"Bedford Avenue, Gravesend Neck Road",,Brooklyn
Garibaldi Playground,82 to 83 Street at 18 Avenue,,Brooklyn
General Douglas MacArthur Park,East 49 Street & East River Drive,Midtown East,Manhattan
Glenwood Playground,Ralph Avenue & Farragut Road,,Brooklyn
Gorman Playground,30 Avenue between 84 & 85 streets,,Queens
Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",,Bronx
Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,,Brooklyn
Grandview Playground,"Grandview Avenue, Continental Place",,Staten Island
Gravesend Park,18 Avenue & 56 Street,,Brooklyn
Greencroft Playground (PS 53),"Redgrave, Ainsworth & Durant avenues",,Staten Island
Greene Playground,Greene & Washington avenues,,Brooklyn
Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",,Brooklyn
Grove Hill Playground,"East 158 Street, Caldwell Avenue, Eagle Avenue",,Bronx
Grover Cleveland Park,"Rene Court, Grandview Avenue, Stanjope Street & Fairview Avenue",,Queens
Gun Hill Playground,"Holland Avenue, Magenta Street, Cueger Avenue",,Bronx
Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",,Queens
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",,Bronx
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",,Bronx
Haggerty Park,202 Street & Jamaica Avenue,,Queens
Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",,Queens
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Lower East Side,Manhattan
Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",,Brooklyn
Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,,Queens
Hansborough Recreation Center,35 West 134 Street,Harlem,Manhattan
Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Upper West Side,Manhattan
Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,,Queens
Harris Park,"West 205 Street, Paul Avenue, Bedford Pk B, Goulden Avenue",,Bronx
Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,,Brooklyn
Hart Playground,"37 Avenue, west of 69 Street",,Queens
Harvey Park,"15 to 20 avenues, East of Whitestone Expressway",,Queens
Hattie Carthan Playground,East of Marcy Street,,Brooklyn
Havemeyer Playground,"Watson Avenue, Havenuemeyer Avenue, Cross Bronx Expressway",,Bronx
Heckscher Playground,Grove Street to Linden Street,,Brooklyn
Henry Hudson Park,"Palisade Avenue, Kappock Street & Independence Avenue",,Bronx
Herbert Von King Park,"Greene, Marcy, Lafayette, Tompkins avenues",,Brooklyn
Herman Dolgon Playground,Avenue V & Nostrand Avenue,,Brooklyn
Hermon MacNeil Park,East of paved path running north from 119th Street,,Queens
High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,,Staten Island
High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,Staten Island
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,Staten Island
High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,Staten Island
Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Harlem,Manhattan
Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Harlem,Manhattan
Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Inwood,Manhattan
Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,Inwood,Manhattan
Highland Park,Jackie Robinson Parkway to Highland Boulevard,,Queens
Hoffman Park,Hoffman Drive west of Queens Boulevard,,Queens
Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Harlem,Manhattan
Hollis Playground (JHS 192),205 Street & Hollis Avenue,,Queens
Holy Cow Playground (PS 179),Peck Avenue & Harding Boulevard,,Queens
Hoover Playground,Manton Street & 83 Avenue,,Queens
Horace Harding Playground (PS 206),62 Drive between 97 Place & 98 Street,,Queens
Horseshoe Playground,"Hall Place, Rogers Place, East 165 Street",,Bronx
Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Harlem,Manhattan
Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",,Bronx
Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),Inwood,Manhattan
Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Inwood,Manhattan
Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Inwood,Manhattan
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Harlem,Manhattan
J.J. Byrne Memorial Park,"3 to 4 streets, 4 to 5 avenues",,Brooklyn
Jackie Robinson Park,Malcolm X Boulevard between Chauncey and Marion streets,,Brooklyn
